,"AUTHORIZED FLORIDA INSURER FINANCIAL ABSTRACTS, BY NAIC STATEMENT TYPE",CALENDAR YEAR 2016,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,COMPANY,NAIC,DOMICILE,Net Admitted Assests($),Liabilities($),Capital and Surplus($),Florida Direct Premiums Written($)
598,ALPHA PROP & CAS INS CO,38156,FOREIGN,29899532,16477374,13422158,8759209
599,ALTERRA AMER INS CO,21296,FOREIGN,421790999,228813313,192977686,11781204
600,AMALGAMATED CAS INS CO,13293,FOREIGN,56744363,13922892,42821470,1232031
601,AMBAC ASSUR CORP,18708,FOREIGN,5450295797,4473818601,976477196,259079
602,AMCO INS CO,19100,FOREIGN,951707161,750378961,201328200,1837
603,AMERICAN AGRI BUSINESS INS CO,12548,FOREIGN,675831664,645605374,30226290,16360821
604,AMERICAN AGRICULTURAL INS CO,10103,FOREIGN,1249233575,673317543,575916032,0
605,AMERICAN ALT INS CORP,19720,FOREIGN,535314682,336893341,198421341,43384365
606,AMERICAN ASSOC OF OTHODONTISTS RRG,10232,FOREIGN,46341394,31814577,14526817,633409
607,AMERICAN AUTOMOBILE INS CO,21849,FOREIGN,134486508,58584810,75901698,15771045
608,AMERICAN BANKERS INS CO OF FL,10111,DOMESTIC,1986257225,1457728206,528529019,1701339038
609,AMERICAN BUILDERS INS CO,11240,FOREIGN,132524357,91823759,40700598,27785431
610,AMERICAN CAPITAL ASSUR CORP,12601,DOMESTIC,115509333,50043912,65465421,71190994
611,AMERICAN CAS CO OF READING PA,20427,FOREIGN,139574400,71531,139502868,31441244
612,AMERICAN COASTAL INS CO,12968,DOMESTIC,320792870,143975216,176817655,250212939
613,AMERICAN COMMERCE INS CO,19941,FOREIGN,336139140,227877822,108261319,1328509
614,AMERICAN COMPENSATION INS CO,45934,FOREIGN,71475451,17909384,53566067,3152299
615,AMERICAN CONTRACTORS IND CO,10216,FOREIGN,302094195,184994969,117099226,1824089
616,AMERICAN CONTRACTORS INS CO RRG,12300,FOREIGN,24285423,14555405,9730018,2059124
617,AMERICAN ECONOMY INS CO,19690,FOREIGN,69540410,2166180,67374231,18869414
618,AMERICAN EMPIRE INS CO,37990,FOREIGN,50562074,30812253,19749821,0
619,AMERICAN EMPIRE SURPLUS LINES INS CO,35351,FOREIGN,417846191,274452624,143393566,6636305
620,AMERICAN EQUITY INS CO,43117,FOREIGN,100658414,259074,100399340,0
621,AMERICAN EQUITY SPECIALTY INS CO,10819,FOREIGN,77641484,49167879,28473604,0
622,AMERICAN EXCESS INS EXCH RRG,10903,FOREIGN,313796899,143203338,170593561,0
623,AMERICAN FAMILY HOME INS CO,23450,DOMESTIC,404651785,218031598,186620187,3044400
624,AMERICAN FAMILY MUT INS CO SI,19275,FOREIGN,16193740217,9326765768,6866974449,0
625,AMERICAN FIRE & CAS CO,24066,FOREIGN,42352840,2277568,40075271,3852213
626,AMERICAN GUAR & LIAB INS,26247,FOREIGN,253582968,74798499,178784470,90386420
627,AMERICAN HALLMARK INS CO OF TX,43494,FOREIGN,417721324,278538927,139182397,166495
628,AMERICAN HLTHCARE IND CO,39152,FOREIGN,21559090,212175,21346915,0
629,AMERICAN HOME ASSUR CO,19380,FOREIGN,29684870445,23237278874,6447591571,77673111
630,AMERICAN INDEPENDENT INS CO,17957,FOREIGN,114386072,104502722,9883350,0
631,AMERICAN INS CO,21857,FOREIGN,141762716,77801918,63960798,7102031
632,AMERICAN INTEGRITY INS CO OF FL,12841,DOMESTIC,221401064,148541258,72859806,262360433
633,AMERICAN INTERSTATE INS CO,31895,FOREIGN,1225519934,831503968,394015966,32286238
634,AMERICAN MERCURY INS CO,16810,FOREIGN,362692663,200980067,161712596,203587
635,AMERICAN MILLENNIUM INS CO,26140,FOREIGN,30856025,22580737,8275288,0
636,AMERICAN MINING INS CO,15911,FOREIGN,36934749,10848905,26085844,0
637,AMERICAN MODERN HOME INS CO,23469,FOREIGN,1115147397,708252565,406894832,11847258
638,AMERICAN MODERN INS CO OF FL,12314,DOMESTIC,39192787,28828862,10363925,14576269
639,AMERICAN MODERN SELECT INS CO,38652,FOREIGN,325272887,267790700,57482186,4860
640,AMERICAN MODERN SURPLUS LINES INS CO,12489,FOREIGN,67903770,37833398,30070373,143014
641,AMERICAN NATL GEN INS CO,39942,FOREIGN,103160491,35895802,67264689,0
642,AMERICAN NATL LLOYDS INS CO,10043,FOREIGN,86047285,18189071,67858214,119777
643,AMERICAN NATL PROP & CAS CO,28401,FOREIGN,1320141989,693156536,626985453,9228522
644,AMERICAN PET INS CO,12190,FOREIGN,55169163,24718629,30450534,11486419
645,AMERICAN PLATINUM PROP & CAS INS CO,13563,DOMESTIC,21923186,4643114,17280072,6651776
646,AMERICAN PROP INS CO,21806,FOREIGN,21729965,14250064,7479901,809092
647,AMERICAN RELIABLE INS CO,19615,FOREIGN,236996118,145361584,91634534,9728553
648,AMERICAN ROAD INS CO,19631,FOREIGN,658824105,410908445,247915660,15115610
649,AMERICAN SAFETY INS CO,33103,FOREIGN,17478551,580886,16897665,2215316
650,AMERICAN SAFETY RRG INC,25448,FOREIGN,7978653,2365967,5612687,10440
651,AMERICAN SECURITY INS CO,42978,FOREIGN,1552539216,997337225,555201991,269073095
652,AMERICAN SENTINEL INS CO,17965,FOREIGN,36280215,19330748,16949467,0
653,AMERICAN SERV INS CO INC,42897,FOREIGN,152776879,102300830,50476049,0
654,AMERICAN SOUTHERN HOME INS CO,41998,DOMESTIC,171431164,123952115,47479049,20304580
655,AMERICAN SOUTHERN INS CO,10235,FOREIGN,110919738,69430872,41488866,9921519
656,AMERICAN STATES INS CO,19704,FOREIGN,139686891,7294070,132392820,31915286
657,AMERICAN STRATEGIC INS CORP,10872,DOMESTIC,1079987187,590627933,489359254,142241798
658,AMERICAN SUMMIT INS CO,19623,FOREIGN,48747253,18285006,30462247,0
659,AMERICAN SURETY CO,31380,FOREIGN,14605750,3664496,10941254,995632
660,AMERICAN TRADITIONS INS CO,12359,DOMESTIC,50974637,30960529,20014108,51579035
661,AMERICAN WESTERN HOME INS CO,35912,FOREIGN,156774490,83367682,73406808,1168834
662,AMERICAN ZURICH INS CO,40142,FOREIGN,315945797,85211038,230734759,129001307
663,AMERIGUARD RRG INC,12171,FOREIGN,15198923,6829830,8369093,816340
664,AMERISURE INS CO,19488,FOREIGN,836429639,590604053,245825586,136521791
665,AMERISURE MUT INS CO,23396,FOREIGN,2231781160,1293834461,937946699,85818303
666,AMERISURE PARTNERS INS CO,11050,FOREIGN,84793896,60306090,24487806,9078396
667,AMERITRUST INS CORP,10665,FOREIGN,41193709,11061845,30131865,2478957
668,AMEX ASSUR CO,27928,FOREIGN,227781855,46375066,181406789,18579300
669,AMGUARD INS CO,42390,FOREIGN,600335289,459442205,140893084,12555368
670,AMICA MUT INS CO,19976,FOREIGN,5120643548,2536969367,2583674181,152161897
671,ANCHOR GEN INS CO,40010,FOREIGN,104299727,82093201,22206526,0
672,ANCHOR PROP & CAS INS CO,15617,DOMESTIC,72399289,49203429,23195860,57514707
673,APPALACHIAN INS CO,10316,FOREIGN,322533473,105125667,217407806,4733316
674,APPLIED MEDICO LEGAL SOLUTIONS RRG,11598,FOREIGN,151969317,112563625,39405692,4848076
675,ARAG INS CO,34738,FOREIGN,76086487,18958041,57128446,6878346
676,ARCH EXCESS & SURPLUS INS CO,10946,FOREIGN,68268620,1274896,66993724,0
677,ARCH IND INS CO,30830,FOREIGN,81054076,51937733,29116343,0
678,ARCH INS CO,11150,FOREIGN,3729306618,2840704123,888602495,75842868
679,ARCH MORTGAGE GUAR CO,18732,FOREIGN,51292182,1714873,49577309,10857
680,ARCH MORTGAGE INS CO,40266,FOREIGN,547478669,391972047,155506622,8135555
681,ARCH REINS CO,10348,FOREIGN,2040379886,756272030,1284107856,0
682,ARCH SPECIALTY INS CO,21199,FOREIGN,481027766,179154220,301873546,100677426
683,ARCOA RRG INC,13177,FOREIGN,15865889,9068213,6797676,4241815
684,ARGONAUT GREAT CENTRAL INS CO,19860,FOREIGN,37807457,12107857,25699600,0
685,ARGONAUT INS CO,19801,FOREIGN,1675030580,875359859,799670721,13670290
686,ARGONAUT MIDWEST INS CO,19828,FOREIGN,21689280,4184630,17504650,585648
687,ARISE BOILER INSPECTION & INS CO RRG,13580,FOREIGN,4081306,832267,3249039,6498
688,ARMED FORCES INS EXCH,41459,FOREIGN,139924052,73292351,66631701,8291124
689,ARROWOOD IND CO,24678,FOREIGN,1322412445,1103117791,219294654,178
690,ARROWOOD SURPLUS LINES INS CO,41807,FOREIGN,87510559,5701043,81809516,0
691,ARTISAN & TRUCKERS CAS CO,10194,FOREIGN,324222591,261561181,62661410,10842497
692,ASCENDANT COMMERCIAL INS INC,13683,DOMESTIC,54164752,43537984,10626768,62744581
693,ASHMERE INS CO,40398,DOMESTIC,9352103,201158,9150945,35892
694,ASI ASSUR CORP,12196,DOMESTIC,135230300,85594241,49636059,67372149
695,ASI HOME INS CORP,11072,DOMESTIC,18825614,1914503,16911111,2587724
696,ASI PREFERRED INS CORP,13142,DOMESTIC,102395837,59333969,43061868,145534211
697,ASPEN AMER INS CO,43460,FOREIGN,881080732,426590029,454490703,9047834
698,ASPEN SPECIALTY INS CO,10717,FOREIGN,373612219,229824167,143788052,78570665
699,ASSOC OF CERT MORTG ORIGINATORS RRG,14425,FOREIGN,2705702,1604218,1101484,0
700,ASSOCIATED IND CORP,21865,FOREIGN,111861842,23280148,88581694,2786042
701,ASSOCIATED INDUSTRIES INS CO INC,23140,DOMESTIC,379128545,259800727,119327819,155314000
702,ASSURANCEAMERICA INS CO,11558,FOREIGN,55030383,41809297,13221086,26020692
703,ASSURED GUAR CORP,30180,FOREIGN,3271971296,1376393939,1895577357,0
704,ASSURED GUAR MUNICIPAL CORP,18287,FOREIGN,5333521963,3012517065,2321004898,3191210
705,ATAIN INS CO,29033,FOREIGN,82937356,33442298,49495058,29739
706,ATAIN SPECIALTY INS CO,17159,FOREIGN,364164854,189747490,174417364,4059727
707,ATLANTA INTL INS CO,20931,FOREIGN,42237644,19922405,22315239,0
708,ATLANTIC CAS INS CO,42846,FOREIGN,263648721,164166901,99481820,5112807
709,ATLANTIC SPECIALTY INS CO,27154,FOREIGN,2232654787,1607807119,624847668,41014488
710,ATRADIUS TRADE CREDIT INS CO,25422,FOREIGN,112385102,49142684,63242418,2015402
711,ATTORNEYS LIAB ASSUR SOCIETY INC RRG,10639,FOREIGN,1933513422,1329001997,604511425,15044752
712,ATTPRO RRG RECIP RRG,13795,FOREIGN,3021030,1946801,1074229,1629618
713,AUSTIN MUT INS CO,13412,FOREIGN,57617184,11732016,45885168,0
714,AUTO CLUB INS ASSOC,21202,FOREIGN,4074567662,2265171452,1809396210,0
715,AUTO CLUB INS CO OF FL,12813,DOMESTIC,373208720,199919566,173289154,214775858
716,AUTO CLUB S INS CO,41041,DOMESTIC,123074689,66934670,56140019,75505964
717,AUTO OWNERS INS CO,18988,FOREIGN,14313470644,4623394187,9690076457,132654630
718,AUTOMOBILE INS CO OF HARTFORD CT,19062,FOREIGN,1006619163,690215970,316403193,29028
719,AVATAR PROP & CAS INS CO,13139,DOMESTIC,49605350,25221004,24384346,32514068
720,AVEMCO INS CO,10367,FOREIGN,80255943,27630301,52625642,1220843
721,AVENTUS INS CO,22390,FOREIGN,35557825,16701841,18855984,0
722,AVIATION ALLIANCE INS RRG INC,13791,FOREIGN,3227538,2210448,1017090,454355
723,AXA ART INS CORP,29530,FOREIGN,14820552,5124477,9696075,0
724,AXA INS CO,33022,FOREIGN,226000759,97734998,128265761,6514179
725,AXIS INS CO,37273,FOREIGN,1505391751,930866710,574525041,32057244
726,AXIS REINS CO,20370,FOREIGN,3003194977,2106947664,896247313,285608
727,AXIS SPECIALTY INS CO,15610,FOREIGN,65233973,13522488,51711485,0
728,AXIS SURPLUS INS CO,26620,FOREIGN,434745842,258145992,176599850,51730482
729,BALBOA INS CO,24813,FOREIGN,87652784,9821501,77831283,-52661
730,BANKERS INS CO,33162,DOMESTIC,149478987,65308700,84170286,2979064
731,BANKERS SPECIALTY INS CO,13041,FOREIGN,59094047,10832252,48261795,1644545
732,BANKERS STANDARD INS CO,18279,FOREIGN,636326525,470188843,166137682,957274
733,BAR VERMONT RRG INC,10174,FOREIGN,27978670,10042315,17936355,421870
734,BAY INS RRG INC,15582,FOREIGN,801699,196833,604866,0
735,BCS INS CO,38245,FOREIGN,269416276,114263113,155153163,7416300
736,BEAZLEY INS CO INC,37540,FOREIGN,300199260,178126837,122072423,6655155
737,BEDIVERE INS CO,21970,FOREIGN,259254977,152651848,106603129,0
738,BENCHMARK INS CO,41394,FOREIGN,275883887,187700662,88183225,1989022
739,BERKLEY ASSUR CO,39462,FOREIGN,71883420,18133768,53749652,14293885
740,BERKLEY INS CO,32603,FOREIGN,17940465401,12447421669,5493043732,17966449
741,BERKLEY NATL INS CO,38911,FOREIGN,127177997,76206006,50971990,4312254
742,BERKLEY REGIONAL INS CO,29580,FOREIGN,748237221,41314928,706922293,1481561
743,BERKLEY REGIONAL SPECIALTY INS CO,31295,FOREIGN,62075955,5840100,56235855,337443
744,BERKSHIRE HATHAWAY ASSUR CORP,13070,FOREIGN,2351354658,557593300,1793761358,0
745,BERKSHIRE HATHAWAY DIRECT INS CO,10391,FOREIGN,132894791,15180821,117713968,167802
746,BERKSHIRE HATHAWAY HOMESTATE INS CO,20044,FOREIGN,2467209462,1209736720,1257472742,6031939
747,BERKSHIRE HATHAWAY SPECIALTY INS CO,22276,FOREIGN,4086473140,749333659,3337139481,10051390
748,BITCO GEN INS CORP,20095,FOREIGN,851809433,556238471,295570962,13628509
749,BITCO NATL INS CO,20109,FOREIGN,501302737,355928851,145373886,6776121
750,BLUE HILL SPECIALTY INS CO INC,15643,FOREIGN,15467134,88543,15378591,0
751,BLUESHORE INS CO,22250,FOREIGN,73707949,56536673,17171276,0
752,BOND SAFEGUARD INS CO,27081,FOREIGN,88533143,47867592,40665551,610787
753,BOSTON IND CO INC,30279,FOREIGN,7394402,2262764,5131638,108428
754,BRIDGEFIELD CAS INS CO,10335,DOMESTIC,55355028,9522808,45832220,43524924
755,BRIDGEFIELD EMPLOYERS INS CO,10701,DOMESTIC,122627020,9164158,113462862,256099724
756,BRIERFIELD INS CO,10993,FOREIGN,13216250,4301086,8915164,11342660
757,BRISTOL W INS CO,19658,FOREIGN,130272187,83725712,46546475,1622873
758,BROTHERHOOD MUT INS CO,13528,FOREIGN,600708650,355993466,244715184,288650
759,BUILD AMER MUT ASSUR CO,14380,FOREIGN,496685983,65204037,431481946,796053
760,BUILDERS INS,10704,FOREIGN,579329534,324379639,254949895,0
761,BUILDERS MUT INS CO,10844,FOREIGN,779790484,469758054,310032430,8207118
762,BURLINGTON INS CO,23620,FOREIGN,360671289,181274114,179397175,16511039
763,BUSINESSFIRST INS CO,11697,DOMESTIC,37280783,20735332,16545451,26795178
764,C A R RRG INC,15921,FOREIGN,1289443,253374,1036069,9928
765,CALIFORNIA CAS IND EXCH,20117,FOREIGN,582839711,309811799,273027912,0
766,CALIFORNIA CAS INS CO,20125,FOREIGN,102517327,34679276,67838050,7663709
767,CAMICO MUT INS CO,36340,FOREIGN,90925277,50743545,40181732,1154720
768,CAMPMED CAS & IND CO INC,12260,FOREIGN,20861438,20415,20841023,364229
769,CANAL IND CO,27790,FOREIGN,47006087,2926415,44079672,0
770,CANAL INS CO,10464,FOREIGN,818978644,379277426,439701218,24046673
771,CANOPIUS US INS,12961,FOREIGN,203792124,88963141,114828983,6746226
772,CAPACITY INS CO,32930,DOMESTIC,21836452,11806549,10029903,15166241
773,CAPITOL IND CORP,10472,FOREIGN,520005597,285765169,234240428,987631
774,CAPITOL PREFERRED INS CO,10908,DOMESTIC,58238709,31234024,27004685,54249020
775,CAPITOL SPECIALTY INS CORP,10328,FOREIGN,131940168,76497795,55442373,21719271
776,CARE RRG INC,11825,FOREIGN,19357090,14673528,4683562,1068533
777,CARING COMMUNITIES RECIP RRG,12373,FOREIGN,79390003,28447207,50942796,1362248
778,CAROLINA CAS INS CO,10510,FOREIGN,171346997,70049601,101297396,5288334
779,CASTLE KEY IND CO,10835,FOREIGN,13683768,2571451,11112317,70232833
780,CASTLE KEY INS CO,30511,FOREIGN,370460752,156097201,214363551,103538652
781,CATERPILLAR INS CO,11255,FOREIGN,687246446,371047350,316199096,12730458
782,CATLIN IND CO,24503,FOREIGN,133338778,64726423,68612355,1151952
783,CATLIN INS CO,19518,FOREIGN,230503293,173840791,56662502,8860671
784,CATLIN SPECIALTY INS CO,15989,FOREIGN,743994023,509749428,234244595,17810162
785,CENSTAT CAS CO,11499,FOREIGN,24518165,7017512,17500654,0
786,CENTAURI SPECIALTY INS CO,12573,DOMESTIC,128737684,90997416,37740268,18589520
787,CENTENNIAL CAS CO,34568,FOREIGN,115137270,43752313,71384957,281210
788,CENTRAL STATES IND CO OF OMAHA,34274,FOREIGN,447853650,69843912,378009738,762829
789,CENTRE INS CO,34649,FOREIGN,58415510,37925968,20489543,0
790,CENTURION CAS CO,42765,FOREIGN,34421173,459726,33961447,0
791,CENTURION MEDICAL LIAB PROTECT RRG,11976,FOREIGN,20793113,8321305,12471808,1902981
792,CENTURY NATL INS CO,26905,FOREIGN,513705806,265676435,248029371,28160567
793,CENTURY SURETY CO,36951,FOREIGN,235461824,54826610,180635214,358311
794,CHARTER OAK FIRE INS CO,25615,FOREIGN,918008622,675118463,242890159,83094557
795,CHEROKEE GUAR CO INC A RRG,14388,FOREIGN,15874080,12390133,3483947,145072
796,CHEROKEE INS CO,10642,FOREIGN,498493820,317758174,180735646,616709
797,CHICAGO INS CO,22810,FOREIGN,80880428,15277349,65603079,-14924
798,CHUBB CUSTOM INS CO,38989,FOREIGN,372881351,157925272,214956079,31424907
799,CHUBB IND INS CO,12777,FOREIGN,378127379,214459765,163667614,10386886
800,CHUBB NATL INS CO,10052,FOREIGN,343508732,180580055,162928677,164945
801,CHURCH INS CO,10669,FOREIGN,24196713,8221460,15975253,0
802,CHURCH MUT INS CO,18767,FOREIGN,1625578887,961815465,663763422,14779079
803,CIM INS CORP,22004,FOREIGN,17744953,442661,17302292,-340658
804,CIRCLE STAR INS CO RRG,11839,FOREIGN,3010621,1131631,1878990,0
805,CITIZENS PROP INS CORP,10064,DOMESTIC,12268817439,4867015124,7401802315,973840305
806,CITY NATL INS CO,41335,FOREIGN,11436789,126504,11310285,0
807,CLAIM PROFESSIONALS LIAB INS CO RRG,12172,FOREIGN,4165031,1614157,2550874,291192
808,CLARENDON NATL INS CO,20532,FOREIGN,704024935,537577455,166447480,0
809,CLEAR BLUE INS CO,28860,FOREIGN,29991232,2264766,27726466,667639
810,CLEAR BLUE SPECIALTY INS CO,37745,FOREIGN,64454056,763020,63691036,688195
811,CM VANTAGE SPECIALTY INS CO,15872,FOREIGN,55007911,2513458,52494453,37931
812,COAST NATL INS CO,25089,FOREIGN,583311936,156269594,427042342,0
813,COFACE N AMER INS CO,31887,FOREIGN,162761749,116651991,46109758,6780799
814,COLISEUM REINS CO,36552,FOREIGN,261810846,102412225,159398621,0
815,COLLEGE RRG INC,13613,FOREIGN,27664556,17840500,9824056,100382
816,COLONIAL AMER CAS & SURETY CO,34347,FOREIGN,25220474,2374820,22845654,351207
817,COLONIAL SURETY CO,10758,FOREIGN,57829662,21671643,36158019,777033
818,COLONY INS CO,39993,FOREIGN,1494738799,1125794255,368944544,58582900
819,COLONY SPECIALTY INS CO,36927,FOREIGN,62205718,41335559,20870159,1326955
820,COLORADO CAS INS CO,41785,FOREIGN,24602347,3730,24598616,0
821,COLUMBIA CAS CO,31127,FOREIGN,238827226,332709,238494518,41967339
822,COLUMBIA INS CO,27812,FOREIGN,20706516164,5218437026,15488079136,0
823,COLUMBIA NATL RRG INC,10803,FOREIGN,1850334,640811,1209523,36360
824,COMMERCE & INDUSTRY INS CO,19410,FOREIGN,387283798,5358507,381925291,73042794
825,COMMERCE INS CO,34754,FOREIGN,2183748081,1562473570,621274510,0
826,COMMERCIAL CAS INS CO,32280,FOREIGN,67580891,4940636,62640255,0
827,COMMERCIAL HIRECAR INS CO RRG,15836,FOREIGN,3388857,1872074,1516783,0
828,COMMONWEALTH INS CO OF AMER,10220,FOREIGN,10979749,378856,10600893,0
829,COMMUNITY BLOOD CNTR EXCH RRG,13893,FOREIGN,19375370,4323785,15051585,40956
830,COMPUTER INS CO,34711,FOREIGN,23439027,-505724,23944751,0
831,CONIFER INS CO,29734,FOREIGN,93143637,63604207,29539430,8375840
832,CONSTITUTION INS CO,32190,FOREIGN,26189837,4535608,21654229,0
833,CONSUMER SPECIALTIES INS CO RRG,10075,FOREIGN,4284568,1739018,2545550,6000
834,CONTINENTAL CAS CO,20443,FOREIGN,43519515223,32771190968,10748324256,421201937
835,CONTINENTAL HERITAGE INS CO,39551,DOMESTIC,17264744,933222,16331522,432212
836,CONTINENTAL IND CO,28258,FOREIGN,200385157,102953307,97431850,7985188
837,CONTINENTAL INS CO,35289,FOREIGN,1667485489,167142922,1500342567,55365688
838,CONTRACTORS BONDING & INS CO,37206,FOREIGN,210168601,93074418,117094183,1889218
839,CONTRACTORS INS CO OF N AMER INC RRG,11603,FOREIGN,40055246,14224333,25830913,109602
840,COREPOINTE INS CO,10499,FOREIGN,90911604,35008617,55902987,595010
841,CORNERSTONE NATL INS CO,10783,FOREIGN,31829602,21578716,10250886,0
842,COUNTY HALL INS CO INC A RRG,15947,FOREIGN,6375080,4437268,1937812,194227
843,COURTESY INS CO,26492,DOMESTIC,789575857,411735706,377840151,298553649
844,COVERYS SPECIALTY INS CO,15686,FOREIGN,58640313,7852681,50787632,2132913
845,COVINGTON SPECIALTY INS CO,13027,FOREIGN,99944547,53584352,46360195,49811157
846,CPA MUT INS CO OF AMER RRG,10164,FOREIGN,16735269,11467922,5267347,499935
847,CRESTBROOK INS CO,18961,FOREIGN,133096065,50458921,82637144,0
848,CROSSFIT RRG INC,13720,FOREIGN,7093511,4314718,2778793,179780
849,CRUDEN BAY RRG INC,11676,FOREIGN,15242693,8150931,7091762,1454253
850,CRUM & FORSTER IND CO,31348,FOREIGN,52147210,35595964,16551246,3801839
851,CRUM & FORSTER SPECIALTY INS CO,44520,FOREIGN,62556001,12556703,49999298,7636483
852,CUMIS INS SOCIETY INC,10847,FOREIGN,1832590088,963350025,869240063,19809759
853,CUMIS SPECIALTY INS CO INC,12758,FOREIGN,56955455,3934073,53021383,45213
854,CYPRESS PROP & CAS INS CO,10953,DOMESTIC,87942368,58104627,29837741,82979975
855,DAILY UNDERWRITERS OF AMER,35483,FOREIGN,43019501,11098455,31921046,621321
856,DAIRYLAND INS CO,21164,FOREIGN,1272807050,797376419,475430631,7371294
857,DAKOTA TRUCK UNDERWRITERS,34924,FOREIGN,116103742,70818312,45285430,0
858,DAN RRG INC,15928,FOREIGN,2573766,1590459,983308,175333
859,DEALERS ASSUR CO,16705,FOREIGN,106511961,45295016,61216945,17602419
860,DEPOSITORS INS CO,42587,FOREIGN,302278497,265239372,37039125,119776888
861,DEVELOPERS SURETY & IND CO,12718,FOREIGN,140414650,42267642,98147007,3391242
862,DIAMOND STATE INS CO,42048,FOREIGN,122010961,58087719,63923242,1435726
863,DIRECT GEN INS CO,42781,FOREIGN,384570517,271590958,112979559,203221482
864,DIRECT NATL INS CO,23736,FOREIGN,14812224,9330246,5481978,0
865,DISCOVER PROP & CAS INS CO,36463,FOREIGN,136370601,73349070,63021531,30737
866,DISCOVER SPECIALTY INS CO,10213,FOREIGN,107117189,68850277,38266912,0
867,DOCTORS CO AN INTERINS EXCH,34495,FOREIGN,4132177433,2206316791,1925860641,118287443
868,DOCTORS PROFESSIONAL LIABITY RRG INC,15893,FOREIGN,2047724,931824,1115900,174137
869,DORINCO REINS CO,33499,FOREIGN,1522889454,990931562,531957892,2632
870,EASTERN ADVANTAGE ASSUR CO,13019,FOREIGN,49550875,34598995,14951880,10535
871,EASTERN ALLIANCE INS CO,10724,FOREIGN,278514610,174991738,103522872,88165
872,EASTERN ATLANTIC INS CO,28649,FOREIGN,66897372,35949964,30947408,0
873,EASTGUARD INS CO,14702,FOREIGN,136007482,92370135,43637347,385729
874,ECONOMY FIRE & CAS CO,22926,FOREIGN,502014924,120333586,381681338,0
875,ECONOMY PREFERRED INS CO,38067,FOREIGN,44356851,33307724,11049127,1449731
876,ECONOMY PREMIER ASSUR CO,40649,FOREIGN,85190833,36111293,49079540,921675
877,EDISON INS CO,12482,DOMESTIC,49847514,28636855,21210658,47147063
878,ELECTRIC INS CO,21261,FOREIGN,1488572045,954513576,534058471,18704437
879,ELEMENTS PROPERTY INS CO,15312,DOMESTIC,49060686,33683999,15376687,65221200
880,ELITE TRANSPORTATION RRG INC,10125,FOREIGN,10202723,9293298,909425,0
881,EMC PROP & CAS INS CO,25186,FOREIGN,97527686,8707080,88820606,6445
882,EMC REINS CO,40509,FOREIGN,467205175,258647158,208558017,0
883,EMERGENCY MEDICINE PROFESSIONAL ASR,12003,FOREIGN,21915806,13737180,8178626,277362
884,EMERGENCY PHYSICIANS INS EXCHANGE RR,11714,FOREIGN,26698286,17174057,9524229,18561
885,EMPIRE FIRE & MARINE INS CO,21326,FOREIGN,112904933,74185325,38719608,38245658
886,EMPIRE IND INS CO,21334,FOREIGN,60099863,8520779,51579084,47442371
887,EMPLOYERS ASSUR CO,25402,DOMESTIC,460669798,280830866,179838932,15983751
888,EMPLOYERS COMPENSATION INS CO,11512,FOREIGN,1083822882,725536163,358286719,156647
889,EMPLOYERS FIRE INS CO,20648,FOREIGN,11681775,174518,11507257,0
890,EMPLOYERS INS  OF WAUSAU,21458,FOREIGN,5614331777,4028494960,1585836820,10963239
891,EMPLOYERS INS CO OF NV,10640,FOREIGN,529516648,375372983,154143665,0
892,EMPLOYERS MUT CAS CO,21415,FOREIGN,3197977764,1819415502,1378562262,3937579
893,EMPLOYERS PREFERRED INS CO,10346,DOMESTIC,899819965,763398215,136421750,21574598
894,ENDURANCE AMER INS CO,10641,FOREIGN,1293278769,1010202198,283076571,0
895,ENDURANCE AMER SPECIALTY INS CO,41718,FOREIGN,373159649,267878719,105280930,83907352
896,ENDURANCE ASSUR CORP,11551,FOREIGN,1786383761,999574681,786809080,24287528
897,EQUITY INS CO,28746,FOREIGN,77732723,47786930,29945793,-168630
898,ESSENT GUAR INC,13634,FOREIGN,1323609865,744722730,578887135,28785251
899,ESSENTIA INS CO,37915,FOREIGN,85726868,59276385,26450483,17640408
900,ESURANCE INS CO,25712,FOREIGN,179014289,14795535,164218754,14824795
901,ESURANCE PROP & CAS INS CO,30210,FOREIGN,112578098,70283062,42295036,171672314
902,EULER HERMES N AMER INS CO,20516,FOREIGN,417970566,269901181,148069385,25122509
903,EVANSTON INS CO,35378,FOREIGN,4413721219,3129277735,1284443484,137629292
904,EVEREST IND INS CO,10851,FOREIGN,164195896,105236257,58959639,25103077
905,EVEREST NATL INS CO,10120,FOREIGN,1101773845,968474790,133299055,44000164
906,EVEREST REINS CO,26921,FOREIGN,10224828895,6589707587,3635121309,1958000
907,EVERGREEN NATL IND CO,12750,FOREIGN,47551507,14268287,33283220,820455
908,EVERGREEN USA RRG INC,38466,FOREIGN,10046233,5179342,4866891,0
909,EVERSPAN FIN GUAR CORP,24961,FOREIGN,230081618,2428037,227653581,0
910,EXCESS SHARE INS CORP,10003,FOREIGN,52360897,31065643,21295254,92503
911,EXECUTIVE RISK IND INC,35181,FOREIGN,2901396557,1650431250,1250965307,7841309
912,EXECUTIVE RISK SPECIALTY INS CO,44792,FOREIGN,289309121,112955167,176353954,734598
913,EXPLORER INS CO,40029,FOREIGN,356079482,231018673,125060809,0
